  sta seedchan net location config   ondate     offdate   digitizer  clip   corr
 HLID   BH2     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6  0.05
 HLID   BHZ     US    00   exclude 2011/05/02  2099/01/01 Q330SR    5.87e6  0.0
 HMU    HHE     UU    01       1   2005/11/18  2015/11/18 72A-07    3.67e6 -0.40
 HMU    HHN     UU    01       1   2005/11/18  2015/11/18 72A-07    3.67e6 -0.40
 HMU    HHZ     UU    01   exclude 2005/11/18  2015/11/18 72A-07    3.67e6  0.00
 HMU    HHE     UU    01       1   2015/11/19  2099/01/01 Q330      5.87e6 -0.40
 HMU    HHN     UU    01       1   2015/11/19  2099/01/01 Q330      5.87e6 -0.40
 HMU    HHZ     UU    01   exclude 2015/11/19  2099/01/01 Q330      5.87e6  0.00
 HMU    ENE     UU    01       2   2015/11/19  2099/01/01 Q330      8.30e6 -0.40
 HMU    ENN     UU    01       2   2015/11/19  2099/01/01 Q330      8.30e6 -0.40
 HVU    HHE     UU    01       1   1998/06/01  2009/11/11 72A-07    3.67e6 -0.21
 HVU    HHN     UU    01       1   1998/06/01  2009/11/11 72A-07    3.67e6 -0.21
 HVU    HHZ     UU    01   exclude 1998/06/01  2009/11/11 72A-07    3.67e6  0.00
 HVU    HHE     UU    01       1   2009/11/12  2099/01/01 Q330      5.87e6 -0.21
 HVU    HHN     UU    01       1   2009/11/12  2099/01/01 Q330      5.87e6 -0.21
 HVU    HHZ     UU    01   exclude 2009/11/12  2099/01/01 Q330      5.87e6  0.00
 HVU    ENE     UU    01       2   2009/11/12  2099/01/01 Q330S     8.30e6 -0.21
 HVU    ENN     UU    01       2   2009/11/12  2099/01/01 Q330S     8.30e6 -0.21
 HWUT   BHE     US    01       1   1997/03/26  2016/09/30 Quanterra 5.87e6  0.09
 HWUT   BHN     US    01       1   1997/03/26  2016/09/30 Quanterra 5.87e6  0.09
 HWUT   BH1     US    00       1   2013/07/11  2099/01/01 Q330SR    5.87e6  0.09
 HWUT   BH2     US    00       1   2013/07/11  2099/01/01 Q330SR    5.87e6  0.09
 IRCI   ELE     IE    02       1   1994/02/01  1994/08/31 None      0.00e0  0.05
 IRCI   ELN     IE    02       1   1994/02/01  1994/08/31 None      0.00e0  0.05
 ISCO   BHE     US    01       0   2001/10/23  2016/09/30 Quanterra 5.87e6  0.00
 ISCO   BHN     US    01       0   2001/10/23  2016/09/30 Quanterra 5.87e6  0.00
 ISCO   BH1     US    00       0   2013/08/08  2099/01/01 Q330SR    5.87e6  0.00
 ISCO   BH2     US    00       0   2013/08/08  2099/01/01 Q330SR    5.87e6  0.00
 JLU    HHE     UU    01       1   2001/10/23  2006/10/30 72A-08    3.67e6  0.05
 JLU    HHN     UU    01       1   2001/10/23  2006/10/30 72A-08    3.67e6  0.05
 JLU    HHZ     UU    01   exclude 2001/10/23  2006/10/30 72A-08    3.67e6  0.00
 JLU    HHE     UU    01       1   2006/10/31  2099/01/01 130-01    4.41e6  0.05
 JLU    HHN     UU    01       1   2006/10/31  2099/01/01 130-01    4.41e6  0.05
 JLU    HHZ     UU    01   exclude 2006/10/31  2099/01/01 130-01    4.41e6  0.00
 JLU    ENE     UU    01       2   2001/10/23  2006/10/30 72A-08    5.19e6  0.05
 JLU    ENN     UU    01       2   2001/10/23  2006/10/30 72A-08    5.19e6  0.05
 JLU    ENE     UU    01       2   2006/10/31  2099/01/01 130-01    6.23e6  0.05
 JLU    ENN     UU    01       2   2006/10/31  2099/01/01 130-01    6.23e6  0.05
 KNB    BHE     US    01       1   1995/05/17  2009/01/27 72A-08    3.67e6  0.21
 KNB    BHN     US    01       1   1995/05/17  2009/01/27 72A-08    3.67e6  0.21
 KNB    HHE     UU    01       1   2009/01/28  2099/01/01 130-01    4.41e6  0.21
 KNB    HHN     UU    01       1   2009/01/28  2099/01/01 130-01    4.41e6  0.21
 KNB    HHZ     UU    01   exclude 2009/01/28  2099/01/01 130-01    4.41e6  0.00
 KNB    ENE     UU    01       2   2009/01/28  2099/01/01 130-01    6.23e6  0.21
 KNB    ENN     UU    01       2   2009/01/28  2099/01/01 130-01    6.23e6  0.21
 LCMT   HHE     UU    01       1   2009/05/14  2099/01/01 SMART-24R 4.27e6 -0.12
 LCMT   HHN     UU    01       1   2009/05/14  2099/01/01 SMART-24R 4.27e6 -0.12
 LCMT   HHZ     UU    01   exclude 2009/05/14  2099/01/01 SMART-24R 4.27e6  0.00
 LCMT   ENE     UU    01       2   2009/05/14  2099/01/01 SMART-24R 6.04e6 -0.12
 LCMT   ENN     UU    01       2   2009/05/14  2099/01/01 SMART-24R 6.04e6 -0.12
 LDS    BHE     LB    01       1   1996/12/23  1998/06/17 Quanterra 5.87e6 -0.26
 LDS    BHN     LB    01       1   1996/12/23  1998/06/17 Quanterra 5.87e6 -0.26
 LIUT   HHE     UU    01       0   2015/07/17  2099/01/01 Centaur   5.60e6  0.00
 LIUT   HHN     UU    01       0   2015/07/17  2099/01/01 Centaur   5.60e6  0.00
 LIUT   HHZ     UU    01   exclude 2015/07/17  2099/01/01 Centaur   5.60e6  0.00
 LKWY   BHE     US    01       1   1995/10/11  2016/09/30 Quanterra 5.87e6  0.06
 LKWY   BHN     US    01       1   1995/10/11  2016/09/30 Quanterra 5.87e6  0.06
 LKWY   BH1     US    00       1   2011/08/09  2099/01/01 Q330SR    5.87e6  0.06
 LKWY   BH2     US    00       1   2011/08/09  2099/01/01 Q330SR    5.87e6  0.06
 LOHW   BHE     IW    01       0   2012/10/01  2016/09/30 130-01    4.41e6  0.00
 LOHW   BHN     IW    01       0   2012/10/01  2016/09/30 130-01    4.41e6  0.00
 LOHW   BHZ     IW    01   exclude 2012/10/01  2016/09/30 130-01    4.41e6  0.00
 LOHW   BH1     IW    00       0   2014/10/10  2099/01/01 130-01    4.41e6  0.00
 LOHW   BH2     IW    00       0   2014/10/10  2099/01/01 130-01    4.41e6  0.00
 LOHW   BHZ     IW    00   exclude 2014/10/10  2099/01/01 130-01    4.41e6  0.00
 MPU    HHE     UU    01       1   1998/09/01  2010/05/31 72A-07    3.67e6  0.20
 MPU    HHN     UU    01       1   1998/09/01  2010/05/31 72A-07    3.67e6  0.20
 MPU    HHZ     UU    01   exclude 1998/09/01  2010/05/31 72A-07    3.67e6  0.00
 MPU    HHE     UU    01       1   2010/06/01  2099/01/01 130-01    4.41e6  0.20
 MPU    HHN     UU    01       1   2010/06/01  2099/01/01 130-01    4.41e6  0.20
 MPU    HHZ     UU    01   exclude 2010/06/01  2099/01/01 130-01    4.41e6  0.00
 MPU    ENE     UU    01       2   2000/09/01  2010/05/31 K2        8.30e6  0.20
 MPU    ENN     UU    01       2   2000/09/01  2010/05/31 K2        8.30e6  0.20
 MPU    ENE     UU    01       2   2010/06/01  2099/01/01 130-01    6.23e6  0.20
 MPU    ENN     UU    01       2   2010/06/01  2099/01/01 130-01    6.23e6  0.20
 MTPU   HHE     UU    01       1   2009/10/24  2099/01/01 Q330      5.87e6  0.04
 MTPU   HHN     UU    01       1   2009/10/24  2099/01/01 Q330      5.87e6  0.04
 MTPU   HHZ     UU    01   exclude 2009/10/24  2099/01/01 Q330      5.87e6  0.00
 MTPU   ENE     UU    01       2   2009/10/24  2099/01/01 Q330      8.30e6  0.04
 MTPU   ENN     UU    01       2   2009/10/24  2099/01/01 Q330      8.30e6  0.04
 MVCO   BHE     US    01       1   2006/04/18  2016/09/30 Q330SR    5.87e6 -0.78
 MVCO   BHN     US    01       1   2006/04/18  2016/09/30 Q330SR    5.87e6 -0.78
 MVCO   BHZ     US    01   exclude 2006/04/18  2016/09/30 Q330SR    5.87e6  0.00
 MVCO   BH1     US    00       1   2011/05/02  2099/01/01 Q330SR    5.87e6 -0.78
