Evid,EqLon,EqLat,EqDep,CatMag,Namps
50257465,-110.782,44.822,7.64,1.6,3
50257640,-109.972,44.666,6.92,1.47,2
50257780,-110.634,44.559,6.58,1.16,2
50258110,-110.665,44.686,7.05,0.57,2
50258415,-110.716,44.693,7.61,0.78,2
50258660,-111.092,44.618,12.74,2.01,3
50259265,-110.487,44.313,6.69,1.74,2
50259325,-110.484,44.303,7.19,1.16,2
50259440,-111.47,44.843,11.54,2.28,2
50259445,-111.097,44.809,7.75,1.69,3
50259475,-111.122,44.722,10.93,1.9,2
50259605,-110.648,44.622,4.75,0.91,2
50259610,-110.594,44.437,2.84,0.91,2
50259620,-110.674,44.621,4.44,1.16,2
50259690,-110.657,44.619,4.49,0.75,2
50259695,-110.667,44.621,4.87,1.54,2
50259700,-110.648,44.623,4.64,0.75,2
50259715,-110.656,44.616,0.48,0.79,2
50259720,-110.675,44.612,1.79,0.81,2
50259805,-110.669,44.617,4.5,1.29,2
50259820,-110.652,44.619,4.63,0.75,2
50259850,-111.124,44.724,11.16,1.37,3
50259860,-110.67,44.696,7.47,0.76,2
50259865,-111.492,44.864,12.92,2.2,2
50260065,-110.474,44.67,8.58,1.45,2
50260080,-110.803,44.796,4.49,2.12,3
50260090,-110.808,44.795,4.39,1.09,2
50260125,-110.664,44.622,4.77,1.22,2
50260325,-110.654,44.618,4.62,1.84,2
50260405,-110.66,44.612,4.79,1.13,2
50260550,-110.617,44.397,4.3,1.75,2
50260630,-110.558,44.372,5.85,1.99,2
50260650,-110.557,44.363,7.53,1.43,2
50260655,-110.558,44.377,6.43,1.61,2
50260660,-110.559,44.353,8.06,1.73,2
50260675,-110.556,44.379,5.38,0.97,2
50260695,-110.558,44.365,7.84,1.18,2
50260720,-110.558,44.382,5.34,0.8,2
50260730,-110.555,44.366,6.77,1.12,2
50260805,-110.547,44.343,6.59,1.82,2
50260835,-110.559,44.356,7.24,1.49,2
50260840,-110.559,44.365,7.89,1.89,2
50260940,-110.556,44.349,7.38,2.06,2
50261000,-110.565,44.354,7.63,1.88,2
50261005,-110.556,44.355,7.55,2.05,2
50261070,-110.654,44.63,4.53,0.49,2
50261330,-110.811,44.77,4.8,1.07,3
